Unnamed: 0,id,source,prompt,completion,completion_type
0,0,experiment_samples/technology.cbi!!org.eclipse.b3.backend_model_B3Backend.ecore/test_samples.jsonl,,,['Change_attribute']
1,1,experiment_samples/technology.cbi!!org.eclipse.b3.backend_model_B3Backend.ecore/test_samples.jsonl,,,['Add_node']
2,2,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/test_samples.jsonl,"['EPackage.gmfgraph','EClass.DefaultSizeFacet']","['EClass.DefaultSizeFacet','EReference.defaultSize']",['Add_node']
3,3,experiment_samples/technology.cbi!!org.eclipse.b3.build_model_B3Build.ecore/test_samples.jsonl,"['EClass.ProvidesPredicate','EOperation.matches'],['EClass.ProvidesPredicate','EOperation.matches'],['EOperation.matches','EParameter.candidate']","['EOperation.matches','EParameter.candidate']",['Add_node']
4,4,experiment_samples/technology.cbi!!org.eclipse.b3.build_model_B3Build.ecore/test_samples.jsonl,"['EClass.BuildContext','EOperation.getEffectiveBuildUnit']","['EOperation.getEffectiveBuildUnit','EParameter.unit']",['Add_node']
5,5,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,"['EReference.ownedExpression','EAnnotation.ownedExpression']","['EAnnotation.ownedExpression','EStringToStringMapEntry.documentation']",['Add_node']
6,6,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,"['EReference.referredTypedModel','EAnnotation.referredTypedModel']","['EAnnotation.referredTypedModel','EStringToStringMapEntry.documentation']",['Add_node']
7,7,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,,,['Remove_node']
8,8,experiment_samples/technology.cbi!!org.eclipse.b3.aggregator_model_Aggregator.ecore/test_samples.jsonl,,,['Change_attribute']
9,9,experiment_samples/technology.cbi!!org.eclipse.b3.aggregator_model_Aggregator.ecore/test_samples.jsonl,,,['Remove_node']
10,10,experiment_samples/modeling.emf.emf!!plugins_org.eclipse.emf.codegen.ecore_model_GenModel.ecore/test_samples.jsonl,"['EAnnotation.documentation','EStringToStringMapEntry.documentation'],['EAnnotation.documentation','EStringToStringMapEntry.suppressedIsSetVisibility'],['EAttribute.documentation','EAnnotation.documentation'],['EClass.GenClassifier','EAttribute.documentation']","['EAnnotation.documentation','EStringToStringMapEntry.suppressedUnsetVisibility']",['Add_node']
11,11,experiment_samples/modeling.mmt.qvt-oml!!plugins_org.eclipse.m2m.qvt.oml_model_QVTOperational.ecore/test_samples.jsonl,,,['Change_attribute']
12,12,experiment_samples/modeling.mmt.qvt-oml!!plugins_org.eclipse.m2m.qvt.oml_model_QVTOperational.ecore/test_samples.jsonl,"['EClass.ExtendedVisitor','EOperation.visitBlockExp']","['EOperation.visitBlockExp','EParameter.blockExp']",['Add_node']
13,13,experiment_samples/tools.buckminster!!org.eclipse.buckminster.rmap_model_rmap.ecore/test_samples.jsonl,"['EEnum.VersionSelectorType','EEnumLiteral.TAG']","['EEnum.VersionSelectorType','EEnumLiteral.BRANCH']",['Add_node']
14,14,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EClass.Expression','EAnnotation.Expression']","['EAnnotation.Expression','EStringToStringMapEntry.documentation']",['Add_node']
15,15,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,,,['Add_node']
16,16,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EClass.PartSashContainerElement','EAnnotation.PartSashContainerElement']","['EAnnotation.PartSashContainerElement','EStringToStringMapEntry.documentation']",['Add_node']
