,Unnamed: 0,id,source,prompt,completion,completion_type,chaaben_completion,new_node_gt,anchor_node_gt,completion_string,simplified_gt_association,simplified_gen_association,simplified_concept_ranked,same_association,same_concept,class_names_gt,names_gt,class_names_gen,names_gen,same_class,same_name,simplified_correct
0,0,0,experiment_samples/technology.cbi!!org.eclipse.b3.backend_model_B3Backend.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'derived', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
1,1,1,experiment_samples/technology.cbi!!org.eclipse.b3.backend_model_B3Backend.ecore/test_samples.jsonl,," 0 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOperations'}"" _ _

$$",['Add_node'],,,,,,,,,,,,,,,,
2,2,2,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/test_samples.jsonl,"['EPackage.gmfgraph','EClass.DefaultSizeFacet']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_aWSc9N6tEei97MD7GK1RmA', 'name':'defaultSize','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'Dimension','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2e2e0867 (expression: Dimension)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'DefaultSizeFacet','containment':'true','container':'false','resolveProxies':'true','eReferenceType':'Dimension'}}""

$$",['Add_node'],"['EClass.DefaultSizeFacet','EReference.defaultSize']",EReference.defaultSize,EClass.DefaultSizeFacet,"[""['EPackage.gmfgraph', 'EClass.MinSizeFacet'],['EPackage.gmfgraph""]","['EClass.DefaultSizeFacet','EReference.defaultSize']","['EPackage.gmfgraph','EClass.MinSizeFacet']",EPackage.gmfgraph,False,False,EReference,defaultSize,EPackage,gmfgraph,False,False,False
3,3,3,experiment_samples/technology.cbi!!org.eclipse.b3.build_model_B3Build.ecore/test_samples.jsonl,"['EClass.ProvidesPredicate','EOperation.matches'],['EClass.ProvidesPredicate','EOperation.matches'],['EOperation.matches','EParameter.candidate']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_bpgxNd6zEei97MD7GK1RmA', 'name':'candidate','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'Capability','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@7785bbe5 (expression: Capability)','eOperation':'matches'}}""

$$",['Add_node'],"['EOperation.matches','EParameter.candidate']",EParameter.candidate,EOperation.matches,"[""['EClass.ProvidesPredicate', 'EOperation.matches'], ['EClass.ProvidesPredicate', '"", ""['EClass.ProvidesPredicate', 'EOperation.matches']].\n['Hospital', 'DefinedElement'],"", ""['EOperation.matches', 'EParameter.candidate'].\n['EOperation.matches', 'EParameter"", ""['EClass.ProvidesPredicate', 'EOperation.matches'], ['EClass.ProvidesPredicate', '"", ""['EClass.ProvidesPredicate', 'EOperation.matches'], ['EClass.ProvidesPredicate', '"", ""['EClass.Association', 'EOperation.matches'], ['EClass.Property', 'EOperation"", ""['EClass.ProvidesPredicate', 'EType.matches'], ['EClass.ProvidesPredicate', '""]","['EOperation.matches','EParameter.candidate']","['EClass.ProvidesPredicate','EOperation.matches']",EClass.ProvidesPredicate,False,False,EParameter,candidate,EClass,ProvidesPredicate,False,False,False
4,4,4,experiment_samples/technology.cbi!!org.eclipse.b3.build_model_B3Build.ecore/test_samples.jsonl,"['EClass.BuildContext','EOperation.getEffectiveBuildUnit']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_ewiMaN6zEei97MD7GK1RmA', 'name':'unit','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'BuildUnit','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@20c26698 (expression: BuildUnit)','eOperation':'getEffectiveBuildUnit'}}""

$$",['Add_node'],"['EOperation.getEffectiveBuildUnit','EParameter.unit']",EParameter.unit,EOperation.getEffectiveBuildUnit,"[""['EClass.BuildContext', 'EOperation.getEffectiveBuildUnit']].\n[['Family', 'Member""]","['EOperation.getEffectiveBuildUnit','EParameter.unit']","['EClass.BuildContext','EOperation.getEffectiveBuildUnit']",EClass.BuildContext,False,False,EParameter,unit,EClass,BuildContext,False,False,False
5,5,5,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,"['EReference.ownedExpression','EAnnotation.ownedExpression']"," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Nek4od6vEei97MD7GK1RmA', 'key':'documentation','value':'The optional expression computing initial content values.'}}""

$$",['Add_node'],"['EAnnotation.ownedExpression','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.ownedExpression,"[""['EReference.ownedExpression', 'EAnnotation.ownedExpression']].\n['EReference""]","['EAnnotation.ownedExpression','EStringToStringMapEntry.documentation']","['EReference.ownedExpression','EAnnotation.ownedExpression']",EReference.ownedExpression,False,False,EStringToStringMapEntry,documentation,EReference,ownedExpression,False,False,False
6,6,6,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,"['EReference.referredTypedModel','EAnnotation.referredTypedModel']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Nek5Q96vEei97MD7GK1RmA', 'key':'documentation','value':'The TypedModel that contains the passed value.'}}""

$$",['Add_node'],"['EAnnotation.referredTypedModel','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.referredTypedModel,"[""['EAnnotation.referredTypedModel', 'EAnnotation.referredTypedModel'].\n['EAnnotation""]","['EAnnotation.referredTypedModel','EStringToStringMapEntry.documentation']","['EAnnotation.referredTypedModel','EAnnotation.referredTypedModel']",EAnnotation.referredTypedModel,False,False,EStringToStringMapEntry,documentation,EAnnotation,referredTypedModel,False,False,False
7,7,7,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_KXH_gd6vEei97MD7GK1RmA', 'key':'documentation','value':'Identification of the cache of unnavigable opposites to be exploited\\nby this property call. Should not be null during execution.'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
8,8,8,experiment_samples/technology.cbi!!org.eclipse.b3.aggregator_model_Aggregator.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EClass', 'attributeName': 'abstract', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
9,9,9,experiment_samples/technology.cbi!!org.eclipse.b3.aggregator_model_Aggregator.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_XTVjE96wEei97MD7GK1RmA', 'name':'value','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'ITouchpointInstruction','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2ed12bc4 (expression: ITouchpointInstruction)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'InstructionMap','containment':'true','container':'false','resolveProxies':'true','eReferenceType':'ITouchpointInstruction'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
