Unnamed: 0,id,source,prompt,completion,completion_type,completion_generated
0,0,experiment_samples/technology.cbi!!org.eclipse.b3.backend_model_B3Backend.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'derived', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],
1,1,experiment_samples/technology.cbi!!org.eclipse.b3.backend_model_B3Backend.ecore/test_samples.jsonl,," 0 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOperations'}"" _ _

$$",['Add_node'],
2,2,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/test_samples.jsonl,"['EPackage.gmfgraph','EClass.DefaultSizeFacet']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_aWSc9N6tEei97MD7GK1RmA', 'name':'defaultSize','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'Dimension','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2e2e0867 (expression: Dimension)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'DefaultSizeFacet','containment':'true','container':'false','resolveProxies':'true','eReferenceType':'Dimension'}}""

$$",['Add_node'],"['EPackage.gmfgraph','EClass.DefaultEditableFacet'],['EP"
3,3,experiment_samples/technology.cbi!!org.eclipse.b3.build_model_B3Build.ecore/test_samples.jsonl,"['EClass.ProvidesPredicate','EOperation.matches'],['EClass.ProvidesPredicate','EOperation.matches'],['EOperation.matches','EParameter.candidate']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_bpgxNd6zEei97MD7GK1RmA', 'name':'candidate','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'Capability','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@7785bbe5 (expression: Capability)','eOperation':'matches'}}""

$$",['Add_node'],
4,4,experiment_samples/technology.cbi!!org.eclipse.b3.build_model_B3Build.ecore/test_samples.jsonl,"['EClass.BuildContext','EOperation.getEffectiveBuildUnit']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_ewiMaN6zEei97MD7GK1RmA', 'name':'unit','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'BuildUnit','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@20c26698 (expression: BuildUnit)','eOperation':'getEffectiveBuildUnit'}}""

$$",['Add_node'],
5,5,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,"['EReference.ownedExpression','EAnnotation.ownedExpression']"," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Nek4od6vEei97MD7GK1RmA', 'key':'documentation','value':'The optional expression computing initial content values.'}}""

$$",['Add_node'],
6,6,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,"['EReference.referredTypedModel','EAnnotation.referredTypedModel']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Nek5Q96vEei97MD7GK1RmA', 'key':'documentation','value':'The TypedModel that contains the passed value.'}}""

$$",['Add_node'],
7,7,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_KXH_gd6vEei97MD7GK1RmA', 'key':'documentation','value':'Identification of the cache of unnavigable opposites to be exploited\\nby this property call. Should not be null during execution.'}}""

$$",['Remove_node'],
8,8,experiment_samples/technology.cbi!!org.eclipse.b3.aggregator_model_Aggregator.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EClass', 'attributeName': 'abstract', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],
9,9,experiment_samples/technology.cbi!!org.eclipse.b3.aggregator_model_Aggregator.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_XTVjE96wEei97MD7GK1RmA', 'name':'value','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'ITouchpointInstruction','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2ed12bc4 (expression: ITouchpointInstruction)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'InstructionMap','containment':'true','container':'false','resolveProxies':'true','eReferenceType':'ITouchpointInstruction'}}""

$$",['Remove_node'],
10,10,experiment_samples/modeling.emf.emf!!plugins_org.eclipse.emf.codegen.ecore_model_GenModel.ecore/test_samples.jsonl,"['EAnnotation.documentation','EStringToStringMapEntry.documentation'],['EAnnotation.documentation','EStringToStringMapEntry.suppressedIsSetVisibility'],['EAttribute.documentation','EAnnotation.documentation'],['EClass.GenClassifier','EAttribute.documentation']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_ZLrE896tEei97MD7GK1RmA', 'key':'suppressedUnsetVisibility','value':'true'}}""

$$",['Add_node'],
11,11,experiment_samples/modeling.mmt.qvt-oml!!plugins_org.eclipse.m2m.qvt.oml_model_QVTOperational.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'lowerBound', 'valueBefore': '0', 'valueAfter': '1'}""

$$",['Change_attribute'],
12,12,experiment_samples/modeling.mmt.qvt-oml!!plugins_org.eclipse.m2m.qvt.oml_model_QVTOperational.ecore/test_samples.jsonl,"['EClass.ExtendedVisitor','EOperation.visitBlockExp']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_BFzAAt6vEei97MD7GK1RmA', 'name':'blockExp','ordered':'true','unique':'true','lowerBound':'1','upperBound':'1','many':'false','required':'true','eType':'BlockExp','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@367969f2 (expression: BlockExp)','eOperation':'visitBlockExp'}}""

$$",['Add_node'],
13,13,experiment_samples/tools.buckminster!!org.eclipse.buckminster.rmap_model_rmap.ecore/test_samples.jsonl,"['EEnum.VersionSelectorType','EEnumLiteral.TAG']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eLiterals'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EEnumLiteral', 'attributes': {'id': '_n2IqKd60Eei97MD7GK1RmA', 'name':'BRANCH','value':'0','instance':'BRANCH','literal':'BRANCH','eEnum':'VersionSelectorType'}}""

$$",['Add_node'],
