,Unnamed: 0,id,source,prompt,ramc_completion,completion_type,completion,completion_string,simplified_gt,simplified_gen,simplified_concepts,simplified_edge_correct
2,2,2,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/test_samples.jsonl,"['EPackage.gmfgraph','EClass.DefaultSizeFacet']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_aWSc9N6tEei97MD7GK1RmA', 'name':'defaultSize','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'Dimension','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2e2e0867 (expression: Dimension)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'DefaultSizeFacet','containment':'true','container':'false','resolveProxies':'true','eReferenceType':'Dimension'}}""

$$",['Add_node'],"['EClass.DefaultSizeFacet','EReference.defaultSize']","[""['EPackage.gmfgraph', 'EClass.WidthFacet'], ['""]","['EClass.DefaultSizeFacet','EReference.defaultSize']","['EPackage.gmfgraph','EClass.WidthFacet']",EPackage.gmfgraph,False
3,3,3,experiment_samples/technology.cbi!!org.eclipse.b3.build_model_B3Build.ecore/test_samples.jsonl,"['EClass.ProvidesPredicate','EOperation.matches'],['EClass.ProvidesPredicate','EOperation.matches'],['EOperation.matches','EParameter.candidate']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_bpgxNd6zEei97MD7GK1RmA', 'name':'candidate','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'Capability','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@7785bbe5 (expression: Capability)','eOperation':'matches'}}""

$$",['Add_node'],"['EOperation.matches','EParameter.candidate']","[""['EClass.ProvidesPredicate', 'EOperation.matches']].\n['E"", ""['EClass.ProvidesPredicate', 'EOperation.matches']].\n['E"", ""['EOperation.matches', 'EParameter.candidate'], ['EOperation.matches"", ""['EClass.ProvidesPredicate', 'EOperation.matches']].\n['E"", ""['EClass.ProvidesPredicate', 'EOperation.matches'], ['EClass"", ""['EClass.PerformedPredicate', 'EOperation.matches'], ['EClass"", ""['EClass.ProvidesPredicate', 'EOperation.matches'], ['EClass""]","['EOperation.matches','EParameter.candidate']","['EClass.ProvidesPredicate','EOperation.matches']",EOperation.matches,False
4,4,4,experiment_samples/technology.cbi!!org.eclipse.b3.build_model_B3Build.ecore/test_samples.jsonl,"['EClass.BuildContext','EOperation.getEffectiveBuildUnit']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_ewiMaN6zEei97MD7GK1RmA', 'name':'unit','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'BuildUnit','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@20c26698 (expression: BuildUnit)','eOperation':'getEffectiveBuildUnit'}}""

$$",['Add_node'],"['EOperation.getEffectiveBuildUnit','EParameter.unit']","[""['EClass.BuildContext', 'EOperation.getBuildUnit']].\n['""]","['EOperation.getEffectiveBuildUnit','EParameter.unit']","['EClass.BuildContext','EOperation.getBuildUnit']",EClass.BuildContext,False
5,5,5,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,"['EReference.ownedExpression','EAnnotation.ownedExpression']"," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Nek4od6vEei97MD7GK1RmA', 'key':'documentation','value':'The optional expression computing initial content values.'}}""

$$",['Add_node'],"['EAnnotation.ownedExpression','EStringToStringMapEntry.documentation']","[""['EAnnotation.ownedExpression', 'EReference.ownedExpression']""]","['EAnnotation.ownedExpression','EStringToStringMapEntry.documentation']","['EAnnotation.ownedExpression','EReference.ownedExpression']",EAnnotation.ownedExpression,False
6,6,6,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,"['EReference.referredTypedModel','EAnnotation.referredTypedModel']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Nek5Q96vEei97MD7GK1RmA', 'key':'documentation','value':'The TypedModel that contains the passed value.'}}""

$$",['Add_node'],"['EAnnotation.referredTypedModel','EStringToStringMapEntry.documentation']","[""['EReference.referredTypedModel', 'EDocument.referredTyped""]","['EAnnotation.referredTypedModel','EStringToStringMapEntry.documentation']",,,False
10,10,10,experiment_samples/modeling.emf.emf!!plugins_org.eclipse.emf.codegen.ecore_model_GenModel.ecore/test_samples.jsonl,"['EAnnotation.documentation','EStringToStringMapEntry.documentation'],['EAnnotation.documentation','EStringToStringMapEntry.suppressedIsSetVisibility'],['EAttribute.documentation','EAnnotation.documentation'],['EClass.GenClassifier','EAttribute.documentation']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_ZLrE896tEei97MD7GK1RmA', 'key':'suppressedUnsetVisibility','value':'true'}}""

$$",['Add_node'],"['EAnnotation.documentation','EStringToStringMapEntry.suppressedUnsetVisibility']","[""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.documentation"", ""['EAnnotation.documentation', 'EStringToStringMapEntry.suppressedIsSet"", ""['EAttribute.entity', 'EAnnotation.entity'].\n['EAnnotation.documentation"", ""['EClass.GenClassifier', 'EAttribute.classification'], ['EClass"", ""['EAnnotation.documentation', 'EStringToStringMapEntry.documentation'],['EAnnotation"", ""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.username"", ""['EAnnotation.documentation', 'EAnnotation.documentation']].\n[['EAnnotation.documentation"", ""['EAnnotation.documentation', 'EStringToStringMapEntry.suppressed']]."", ""['EAnnotation.documentation', 'EStringToStringMapEntry.suppressedIsSet"", ""['EElement.documentation', 'EAnnotation.documentation']].\n['EAttribute.documentation"", ""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.documentation"", ""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.documentation"", ""['EAnnotation.documentation', 'EAnnotation.documentation']].\n[['Client', '"", ""['EAnnotation.documentation', 'EAnnotation.documentation'].\n['EAnnotation.documentation"", ""['EAnnotation.documentation', 'EAnnotation.documentation']]\n[[['Customer', '""]","['EAnnotation.documentation','EStringToStringMapEntry.suppressedUnsetVisibility']","['EAnnotation.documentation','EAnnotation.documentation']",EAnnotation.documentation,False
12,12,12,experiment_samples/modeling.mmt.qvt-oml!!plugins_org.eclipse.m2m.qvt.oml_model_QVTOperational.ecore/test_samples.jsonl,"['EClass.ExtendedVisitor','EOperation.visitBlockExp']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_BFzAAt6vEei97MD7GK1RmA', 'name':'blockExp','ordered':'true','unique':'true','lowerBound':'1','upperBound':'1','many':'false','required':'true','eType':'BlockExp','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@367969f2 (expression: BlockExp)','eOperation':'visitBlockExp'}}""

$$",['Add_node'],"['EOperation.visitBlockExp','EParameter.blockExp']","[""['EClass.ExtendedVisitor', 'EOperation.visitBlockIn']].""]","['EOperation.visitBlockExp','EParameter.blockExp']","['EClass.ExtendedVisitor','EOperation.visitBlockIn']",EClass.ExtendedVisitor,False
13,13,13,experiment_samples/tools.buckminster!!org.eclipse.buckminster.rmap_model_rmap.ecore/test_samples.jsonl,"['EEnum.VersionSelectorType','EEnumLiteral.TAG']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eLiterals'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EEnumLiteral', 'attributes': {'id': '_n2IqKd60Eei97MD7GK1RmA', 'name':'BRANCH','value':'0','instance':'BRANCH','literal':'BRANCH','eEnum':'VersionSelectorType'}}""

$$",['Add_node'],"['EEnum.VersionSelectorType','EEnumLiteral.BRANCH']","[""['EEnum.CountrySelectorType', 'EEnumLiteral.Tag'].\n[['""]","['EEnum.VersionSelectorType','EEnumLiteral.BRANCH']","['EEnum.CountrySelectorType','EEnumLiteral.Tag']",EEnum.CountrySelectorType,False
14,14,14,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EClass.Expression','EAnnotation.Expression']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4dIt6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.Expression','EStringToStringMapEntry.documentation']","[""['EClass.Expression', 'EAnnotation.Expression']].\n[['EClass',""]","['EAnnotation.Expression','EStringToStringMapEntry.documentation']","['EClass.Expression','EAnnotation.Expression']",EClass.Expression,False
16,16,16,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EClass.PartSashContainerElement','EAnnotation.PartSashContainerElement']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4eUN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.PartSashContainerElement','EStringToStringMapEntry.documentation']","[""['EClass.PartSashContainerElementType', 'EAnnotation.PartSash""]","['EAnnotation.PartSashContainerElement','EStringToStringMapEntry.documentation']",,,False
