,Unnamed: 0,id,source,prompt,ramc_completion,completion_type,completion,new_node_gt,anchor_node_gt,completion_string,simplified_gt_association,simplified_gen_association,simplified_concept_ranked,same_association,same_concept,class_names_gt,names_gt,class_names_gen,names_gen,same_class_name,same_name
2,2,2,experiment_samples/modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/test_samples.jsonl,"['EPackage.gmfgraph','EClass.DefaultSizeFacet']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eStructuralFeatures'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_aWSc9N6tEei97MD7GK1RmA', 'name':'defaultSize','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'Dimension','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@2e2e0867 (expression: Dimension)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'DefaultSizeFacet','containment':'true','container':'false','resolveProxies':'true','eReferenceType':'Dimension'}}""

$$",['Add_node'],"['EClass.DefaultSizeFacet','EReference.defaultSize']",EReference.defaultSize,EClass.DefaultSizeFacet,"[""['EPackage.gmfgraph', 'EClass.MinSizeFacet'],['EPackage.gmfgraph""]","['EClass.DefaultSizeFacet','EReference.defaultSize']","['EPackage.gmfgraph','EClass.MinSizeFacet']",EPackage.gmfgraph,False,False,EReference,defaultSize,EPackage,gmfgraph,False,False
3,3,3,experiment_samples/technology.cbi!!org.eclipse.b3.build_model_B3Build.ecore/test_samples.jsonl,"['EClass.ProvidesPredicate','EOperation.matches'],['EClass.ProvidesPredicate','EOperation.matches'],['EOperation.matches','EParameter.candidate']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_bpgxNd6zEei97MD7GK1RmA', 'name':'candidate','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'Capability','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@7785bbe5 (expression: Capability)','eOperation':'matches'}}""

$$",['Add_node'],"['EOperation.matches','EParameter.candidate']",EParameter.candidate,EOperation.matches,"[""['EClass.ProvidesPredicate', 'EOperation.matches'], ['EClass.ProvidesPredicate', '"", ""['EClass.ProvidesPredicate', 'EOperation.matches']].\n['Hospital', 'DefinedElement'],"", ""['EOperation.matches', 'EParameter.candidate'].\n['EOperation.matches', 'EParameter"", ""['EClass.ProvidesPredicate', 'EOperation.matches'], ['EClass.ProvidesPredicate', '"", ""['EClass.ProvidesPredicate', 'EOperation.matches'], ['EClass.ProvidesPredicate', '"", ""['EClass.Association', 'EOperation.matches'], ['EClass.Property', 'EOperation"", ""['EClass.ProvidesPredicate', 'EType.matches'], ['EClass.ProvidesPredicate', '""]","['EOperation.matches','EParameter.candidate']","['EClass.ProvidesPredicate','EOperation.matches']",EOperation.matches,False,False,EParameter,candidate,EOperation,matches,False,False
4,4,4,experiment_samples/technology.cbi!!org.eclipse.b3.build_model_B3Build.ecore/test_samples.jsonl,"['EClass.BuildContext','EOperation.getEffectiveBuildUnit']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_ewiMaN6zEei97MD7GK1RmA', 'name':'unit','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'BuildUnit','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@20c26698 (expression: BuildUnit)','eOperation':'getEffectiveBuildUnit'}}""

$$",['Add_node'],"['EOperation.getEffectiveBuildUnit','EParameter.unit']",EParameter.unit,EOperation.getEffectiveBuildUnit,"[""['EClass.BuildContext', 'EOperation.getEffectiveBuildUnit']].\n[['Family', 'Member""]","['EOperation.getEffectiveBuildUnit','EParameter.unit']","['EClass.BuildContext','EOperation.getEffectiveBuildUnit']",EClass.BuildContext,False,False,EParameter,unit,EClass,BuildContext,False,False
5,5,5,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,"['EReference.ownedExpression','EAnnotation.ownedExpression']"," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Nek4od6vEei97MD7GK1RmA', 'key':'documentation','value':'The optional expression computing initial content values.'}}""

$$",['Add_node'],"['EAnnotation.ownedExpression','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.ownedExpression,"[""['EReference.ownedExpression', 'EAnnotation.ownedExpression']].\n['EReference""]","['EAnnotation.ownedExpression','EStringToStringMapEntry.documentation']","['EReference.ownedExpression','EAnnotation.ownedExpression']",EReference.ownedExpression,False,False,EStringToStringMapEntry,documentation,EReference,ownedExpression,False,False
6,6,6,experiment_samples/modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore/test_samples.jsonl,"['EReference.referredTypedModel','EAnnotation.referredTypedModel']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_Nek5Q96vEei97MD7GK1RmA', 'key':'documentation','value':'The TypedModel that contains the passed value.'}}""

$$",['Add_node'],"['EAnnotation.referredTypedModel','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.referredTypedModel,"[""['EAnnotation.referredTypedModel', 'EAnnotation.referredTypedModel'].\n['EAnnotation""]","['EAnnotation.referredTypedModel','EStringToStringMapEntry.documentation']","['EAnnotation.referredTypedModel','EAnnotation.referredTypedModel']",EAnnotation.referredTypedModel,False,False,EStringToStringMapEntry,documentation,EAnnotation,referredTypedModel,False,False
10,10,10,experiment_samples/modeling.emf.emf!!plugins_org.eclipse.emf.codegen.ecore_model_GenModel.ecore/test_samples.jsonl,"['EAnnotation.documentation','EStringToStringMapEntry.documentation'],['EAnnotation.documentation','EStringToStringMapEntry.suppressedIsSetVisibility'],['EAttribute.documentation','EAnnotation.documentation'],['EClass.GenClassifier','EAttribute.documentation']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_ZLrE896tEei97MD7GK1RmA', 'key':'suppressedUnsetVisibility','value':'true'}}""

$$",['Add_node'],"['EAnnotation.documentation','EStringToStringMapEntry.suppressedUnsetVisibility']",EStringToStringMapEntry.suppressedUnsetVisibility,EAnnotation.documentation,"[""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.documentation', 'EAnnotation.documentation"", ""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.documentation', 'EAnnotation.documentation"", ""['EAnnotation.documentation', 'EAttribute.documentation']].\n['EAttribute.documentation', 'EAnnotation.documentation"", ""['EClass.Classifier', 'EAttribute.name'], ['EClass.Classifier', 'EAttribute"", ""['EAnnotation.EAnnotation', 'EStringToStringMapEntry.EAnnotation']].\n['EAnnotation.E"", ""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.documentation', 'EAnnotation.documentation"", ""['EAnnotation.document', 'EStringToStringMapEntry.document'].\n['EAnnotation.documentation', '"", ""['EAnnotation.documentation', 'EStringToStringMapEntry.suppressedIsSetVisibility']].\n[['E"", ""['EAnnotation.documentation', 'EAnnotation.documentation'], ['EAnnotation.documentation', 'EAnnotation.documentation']"", ""['EAttribute.documentation', 'EAnnotation.documentation'], ['EAttribute.documentation', 'EAnnotation.documentation']"", ""['EAnnotation.documentation', 'EStringToStringMapEntry.documentation'], ['EAnnotation.documentation', 'E"", ""['EAnnotation.documentation', 'EAnnotation.documentation']].\n['EAnnotation.documentation', 'EAnnotation.documentation"", ""['EAnnotation.version', 'EStringToStringMapEntry.version']].\n['EAnnotation.documentation', '"", ""['EAnnotation.documentation', 'EStringToStringMapEntry.suppressedIsSpecifiedVisibility']].[['"", ""['EAnnotation.documentation', 'EStringToStringMapEntry.documentation'].\n['EAnnotation.documentation', '""]","['EAnnotation.documentation','EStringToStringMapEntry.suppressedUnsetVisibility']","['EAnnotation.documentation','EAnnotation.documentation']",EAnnotation.documentation,False,False,EStringToStringMapEntry,suppressedUnsetVisibility,EAnnotation,documentation,False,False
12,12,12,experiment_samples/modeling.mmt.qvt-oml!!plugins_org.eclipse.m2m.qvt.oml_model_QVTOperational.ecore/test_samples.jsonl,"['EClass.ExtendedVisitor','EOperation.visitBlockExp']"," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eParameters'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_BFzAAt6vEei97MD7GK1RmA', 'name':'blockExp','ordered':'true','unique':'true','lowerBound':'1','upperBound':'1','many':'false','required':'true','eType':'BlockExp','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@367969f2 (expression: BlockExp)','eOperation':'visitBlockExp'}}""

$$",['Add_node'],"['EOperation.visitBlockExp','EParameter.blockExp']",EParameter.blockExp,EOperation.visitBlockExp,"[""['EClass.ExtendedVisitor', 'EOperation.visitBlock']].\n['EClass.ExtendedVisitor""]","['EOperation.visitBlockExp','EParameter.blockExp']","['EClass.ExtendedVisitor','EOperation.visitBlock']",EClass.ExtendedVisitor,False,False,EParameter,blockExp,EClass,ExtendedVisitor,False,False
13,13,13,experiment_samples/tools.buckminster!!org.eclipse.buckminster.rmap_model_rmap.ecore/test_samples.jsonl,"['EEnum.VersionSelectorType','EEnumLiteral.TAG']"," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eLiterals'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EEnumLiteral', 'attributes': {'id': '_n2IqKd60Eei97MD7GK1RmA', 'name':'BRANCH','value':'0','instance':'BRANCH','literal':'BRANCH','eEnum':'VersionSelectorType'}}""

$$",['Add_node'],"['EEnum.VersionSelectorType','EEnumLiteral.BRANCH']",EEnumLiteral.BRANCH,EEnum.VersionSelectorType,"[""['EEnum.VersionSelectorType', 'EEnumLiteral.BUILD'], ['EEnum.VersionSelectorType""]","['EEnum.VersionSelectorType','EEnumLiteral.BRANCH']","['EEnum.VersionSelectorType','EEnumLiteral.BUILD']",EEnum.VersionSelectorType,False,False,EEnumLiteral,BRANCH,EEnum,VersionSelectorType,False,False
14,14,14,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EClass.Expression','EAnnotation.Expression']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4dIt6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.Expression','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.Expression,"[""['EClass.Expression', 'EAttribute.Expression'],['EClass.Expression', 'EClass.Expression']].""]","['EAnnotation.Expression','EStringToStringMapEntry.documentation']","['EClass.Expression','EAttribute.Expression']",EClass.Expression,False,False,EStringToStringMapEntry,documentation,EClass,Expression,False,False
16,16,16,experiment_samples/eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore/test_samples.jsonl,"['EClass.PartSashContainerElement','EAnnotation.PartSashContainerElement']"," 0 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_XM4eUN6tEei97MD7GK1RmA', 'key':'documentation','value':'<p>\\r\\n<strong>Developers</strong>:\\r\\nAdd more detailed documentation by editing this comment in \\r\\norg.eclipse.ui.model.workbench/model/UIElements.ecore. \\r\\nThere is a GenModel/documentation node under ea'}}""

$$",['Add_node'],"['EAnnotation.PartSashContainerElement','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.PartSashContainerElement,"[""['EClass.PartSashElement', 'EAnnotation.PartSashElement']].\n\nThe output is""]","['EAnnotation.PartSashContainerElement','EStringToStringMapEntry.documentation']","['EClass.PartSashElement','EAnnotation.PartSashElement']",EClass.PartSashElement,False,False,EStringToStringMapEntry,documentation,EClass,PartSashElement,False,False
